		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  228  253  246  233  263  271  237  234  7.193337 0.515924 SUCCESS   0
000000011  229  246  229  233  282  243  226  221 12.218029 0.141738 SUCCESS   1
000000101  240  240  235  246  222  261  290  263 14.217737 0.076264 SUCCESS   2
000000111  250  263  256  216  274  255  243  245  9.895274 0.272453 SUCCESS   3
000001001  258  245  250  238  240  240  250  257  2.116747 0.977222 SUCCESS   4
000001011  223  227  254  238  215  214  248  252 11.470256 0.176450 SUCCESS   5
000001101  248  224  233  236  263  221  239  241  6.511233 0.590162 SUCCESS   6
000001111  240  253  241  218  256  248  244  244  3.999947 0.857128 SUCCESS   7
000010001  246  237  207  222  253  268  224  217 15.724933 0.046491 SUCCESS   8
000010011  249  233  271  249  248  268  258  252  7.342680 0.500151 SUCCESS   9
000010101  252  243  238  273  228  250  258  223  7.913571 0.441958 SUCCESS  10
000010111  226  245  258  234  231  234  240  251  4.081503 0.849696 SUCCESS  11
000011001  257  239  255  261  230  243  236  242  3.670546 0.885558 SUCCESS  12
000011011  234  230  224  230  225  229  242  233  6.903125 0.547120 SUCCESS  13
000011101  232  266  269  236  256  254  257  265  9.110431 0.333066 SUCCESS  14
000011111  259  252  231  224  252  251  242  253  4.461744 0.813248 SUCCESS  15
000100011  257  238  212  235  265  240  234  215 11.532747 0.173300 SUCCESS  16
000100101  247  231  218  249  244  247  232  254  4.828216 0.775769 SUCCESS  17
000100111  228  225  271  257  236  223  243  236  8.868941 0.353472 SUCCESS  18
000101001  270  234  237  229  239  225  265  231  8.692060 0.368936 SUCCESS  19
000101011  266  236  237  271  229  250  251  244  6.897829 0.547695 SUCCESS  20
000101101  222  251  253  229  245  255  231  265  6.657398 0.574007 SUCCESS  21
000101111  226  223  229  243  228  244  228  257  7.162621 0.519193 SUCCESS  22
000110011  251  229  236  248  231  253  245  258  3.395162 0.907172 SUCCESS  23
000110101  242  259  259  266  265  219  264  247 10.150533 0.254619 SUCCESS  24
000110111  241  228  210  232  223  224  257  250 11.154624 0.193091 SUCCESS  25
000111001  250  234  259  259  268  222  263  250  8.599912 0.377162 SUCCESS  26
000111011  227  246  256  230  264  238  237  229  5.716858 0.678914 SUCCESS  27
000111101  242  236  238  245  240  240  232  225  2.777667 0.947526 SUCCESS  28
000111111  248  240  261  232  272  248  240  222  7.466603 0.487225 SUCCESS  29
001000011  239  224  239  241  237  256  239  246  2.918537 0.939365 SUCCESS  30
001000101  246  245  239  259  226  249  231  234  3.723504 0.881169 SUCCESS  31
001000111  239  241  241  241  213  227  234  223  7.907216 0.442586 SUCCESS  32
001001011  246  237  236  223  249  243  217  237  5.838662 0.665299 SUCCESS  33
001001101  230  263  261  226  257  261  259  245  7.802359 0.453011 SUCCESS  34
001001111  231  246  248  233  246  226  229  242  3.727741 0.880814 SUCCESS  35
001010011  255  249  242  233  236  235  265  246  3.638771 0.888157 SUCCESS  36
001010101  268  246  243  254  241  260  246  233  4.496696 0.809764 SUCCESS  37
001010111  255  242  229  245  246  234  258  240  2.829566 0.944593 SUCCESS  38
001011011  248  236  232  230  269  221  236  264  8.651811 0.372514 SUCCESS  39
001011101  246  244  261  251  270  234  246  248  4.771021 0.781746 SUCCESS  40
001011111  230  236  231  225  258  233  230  258  6.405317 0.601928 SUCCESS  41
001100101  247  263  264  239  246  263  254  242  5.285776 0.726641 SUCCESS  42
001100111  258  250  248  252  217  280  247  258 10.708715 0.218756 SUCCESS  43
001101011  231  254  275  249  240  234  259  259  7.663608 0.467000 SUCCESS  44
001101101  250  238  233  247  253  238  228  221  4.724417 0.786584 SUCCESS  45
001101111  224  250  234  226  235  251  256  226  6.230554 0.621424 SUCCESS  46
001110101  243  257  251  248  242  235  236  265  3.469304 0.901559 SUCCESS  47
001110111  245  240  255  216  254  251  232  233  5.688260 0.682105 SUCCESS  48
001111011  229  232  225  236  259  239  224  238  6.344944 0.608653 SUCCESS  49
001111101  243  272  258  243  230  267  241  257  7.924163 0.440913 SUCCESS  50
001111111  231  259  257  246  247  240  231  225  4.771021 0.781746 SUCCESS  51
010000011  247  244  266  273  237  225  257  231  8.791621 0.360178 SUCCESS  52
010000111  255  243  238  236  234  254  251  238  2.151699 0.976004 SUCCESS  53
010001011  246  241  232  255  238  256  261  263  4.652394 0.794000 SUCCESS  54
010001111  242  242  249  245  218  233  247  233  4.117514 0.846368 SUCCESS  55
010010011  242  239  229  236  253  237  246  258  2.758602 0.948581 SUCCESS  56
010010111  247  243  255  224  272  245  210  246 10.501118 0.231599 SUCCESS  57
010011011  223  264  262  231  264  248  241  225  8.975916 0.344332 SUCCESS  58
010011111  245  257  246  256  231  215  253  233  6.499582 0.591454 SUCCESS  59
010100011  263  243  236  257  248  254  260  261  5.247646 0.730809 SUCCESS  60
010100111  277  265  232  254  250  226  235  259 10.289284 0.245306 SUCCESS  61
010101011  276  252  241  246  233  271  256  224 10.521242 0.230329 SUCCESS  62
010101111  265  252  239  237  240  255  237  207  9.062768 0.337029 SUCCESS  63
010110011  246  262  255  248  247  245  246  233  2.510757 0.961227 SUCCESS  64
010110111  249  253  247  237  251  251  217  246  4.217076 0.837026 SUCCESS  65
010111011  244  252  243  242  260  237  252  236  2.112510 0.977367 SUCCESS  66
010111111  259  234  242  254  243  243  240  259  2.824271 0.944897 SUCCESS  67
011000111  228  244  258  243  267  248  251  247  4.438442 0.815560 SUCCESS  68
011001111  237  266  254  230  246  267  256  250  6.476281 0.594040 SUCCESS  69
011010111  237  238  254  264  258  237  261  260  5.765579 0.673471 SUCCESS  70
011011111  244  236  238  227  224  239  239  242  3.638771 0.888157 SUCCESS  71
011101111  243  252  246  208  241  252  246  259  7.068355 0.529276 SUCCESS  72
011111111  231  233  243  251  240  241  232  240  2.268208 0.971665 SUCCESS  73
100000000  228  253  246  233  263  271  237  234  7.193337 0.515924 SUCCESS  74
100010000  207  234  235  243  237  226  226  241  9.671790 0.288822 SUCCESS  75
100100000  245  263  235  254  236  246  263  255  4.583548 0.801017 SUCCESS  76
100101000  231  238  242  243  262  237  234  247  2.951371 0.937372 SUCCESS  77
100110000  270  247  243  232  217  245  241  247  6.696588 0.569694 SUCCESS  78
100111000  242  247  247  241  260  213  246  235  5.670254 0.684113 SUCCESS  79
101000000  239  235  228  242  255  260  228  259  5.192570 0.736810 SUCCESS  80
101000100  222  244  228  248  241  228  239  220  6.959261 0.541034 SUCCESS  81
101001000  232  237  245  243  245  229  255  228  3.421641 0.905185 SUCCESS  82
101001100  239  244  243  248  234  261  248  272  5.176682 0.738536 SUCCESS  83
101010000  256  229  254  256  250  246  241  274  6.561014 0.584648 SUCCESS  84
101010100  229  219  245  250  254  254  234  273  8.586143 0.378401 SUCCESS  85
101011000  243  248  252  259  222  237  236  255  4.338880 0.825328 SUCCESS  86
101011100  237  258  253  297  228  240  279  246 19.550647 0.012177 SUCCESS  87
101100000  249  245  244  228  235  235  260  216  6.330116 0.610306 SUCCESS  88
101100100  242  251  240  249  252  238  226  232  2.828507 0.944654 SUCCESS  89
101101000  220  245  253  250  249  238  278  233  8.594616 0.377638 SUCCESS  90
101101100  242  229  236  248  243  255  251  263  3.547682 0.895458 SUCCESS  91
101110000  246  255  239  248  247  261  252  238  2.354000 0.968192 SUCCESS  92
101110100  247  253  234  244  259  218  229  238  5.760283 0.674063 SUCCESS  93
101111000  246  235  249  228  232  259  249  267  5.447829 0.708813 SUCCESS  94
101111100  258  254  248  217  202  243  243  247 11.973361 0.152396 SUCCESS  95
110000000  242  249  217  234  262  260  271  219 11.827196 0.159082 SUCCESS  96
110000010  252  239  251  234  223  233  232  237  4.261561 0.832787 SUCCESS  97
110000100  235  247  248  247  252  274  274  231  9.041585 0.338800 SUCCESS  98
110001000  248  240  244  236  232  232  227  260  3.971349 0.859699 SUCCESS  99
110001010  281  229  236  243  226  233  254  250  9.490672 0.302607 SUCCESS 100
110010000  244  234  224  252  226  229  232  234  5.831248 0.666128 SUCCESS 101
110010010  230  251  263  246  247  243  237  258  3.640889 0.887985 SUCCESS 102
110010100  227  243  275  254  247  258  247  238  6.744250 0.564461 SUCCESS 103
110011000  254  239  224  241  264  235  228  241  5.451006 0.708462 SUCCESS 104
110011010  239  222  243  256  218  238  232  207 12.300644 0.138286 SUCCESS 105
110100000  234  255  247  256  257  245  228  244  3.375038 0.908669 SUCCESS 106
110100010  255  233  237  248  236  252  260  253  3.247938 0.917848 SUCCESS 107
110100100  250  251  243  235  247  214  261  254  6.204075 0.624384 SUCCESS 108
110101000  240  230  250  249  251  250  235  259  2.800969 0.946220 SUCCESS 109
110101010  237  225  243  242  246  265  244  264  5.323906 0.722462 SUCCESS 110
