		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  236  251  227  256  251  237  243  3.808237 0.873997 SUCCESS   0
000000011  248  237  254  228  259  234  251  274  7.146734 0.520887 SUCCESS   1
000000101  281  230  273  245  265  275  252  234 16.723728 0.033118 SUCCESS   2
000000111  231  225  267  234  253  233  245  242  5.811123 0.668379 SUCCESS   3
000001001  260  230  221  242  228  221  236  259  8.782089 0.361011 SUCCESS   4
000001011  245  247  281  235  261  265  243  234  9.644251 0.290888 SUCCESS   5
000001101  255  247  243  241  243  228  233  256  2.811561 0.945621 SUCCESS   6
000001111  230  226  251  252  253  233  244  258  4.373833 0.821919 SUCCESS   7
000010001  225  244  249  261  246  259  255  257  5.012511 0.756238 SUCCESS   8
000010011  235  228  238  216  230  225  235  245  7.715507 0.461742 SUCCESS   9
000010101  271  237  229  253  240  236  232  235  5.905389 0.657829 SUCCESS  10
000010111  240  228  243  229  268  249  240  261  5.942460 0.653677 SUCCESS  11
000011001  278  234  234  237  232  252  222  257  9.607180 0.293686 SUCCESS  12
000011011  242  251  235  234  254  263  244  248  2.992678 0.934816 SUCCESS  13
000011101  224  233  259  266  237  257  246  259  7.074710 0.528594 SUCCESS  14
000011111  267  223  239  244  252  242  235  253  5.187274 0.737385 SUCCESS  15
000100011  208  260  258  236  237  259  236  250  9.270365 0.320004 SUCCESS  16
000100101  265  286  231  258  229  239  226  241 13.334391 0.100850 SUCCESS  17
000100111  230  233  225  225  231  219  256  241  8.512001 0.385117 SUCCESS  18
000101001  235  243  243  246  238  268  233  217  6.593848 0.581018 SUCCESS  19
000101011  272  268  254  230  263  233  233  257 10.225734 0.249538 SUCCESS  20
000101101  229  249  215  240  246  244  246  237  4.980736 0.759633 SUCCESS  21
000101111  246  234  250  204  271  249  256  256 11.772119 0.161665 SUCCESS  22
000110011  245  222  234  244  230  261  219  243  7.243118 0.510644 SUCCESS  23
000110101  256  234  230  263  244  239  235  260  4.918245 0.766277 SUCCESS  24
000110111  277  307  253  270  275  238  241  260 29.804449 0.000229 FAILURE  25
000111001  245  226  247  235  228  234  241  231  4.089976 0.848916 SUCCESS  26
000111011  238  247  240  224  232  228  237  244  3.921568 0.864130 SUCCESS  27
000111101  253  258  300  258  252  251  245  249 15.758826 0.045965 SUCCESS  28
000111111  248  226  243  236  248  232  246  253  2.775549 0.947644 SUCCESS  29
001000011  269  234  278  273  264  281  256  259 20.419164 0.008861 FAILURE  30
001000101  233  254  244  265  244  253  223  255  5.509261 0.702014 SUCCESS  31
001000111  225  226  244  224  234  234  248  251  5.789940 0.670748 SUCCESS  32
001001011  224  265  207  267  239  233  224  241 14.011200 0.081474 SUCCESS  33
