		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  231  231  249  276  233  250  269  216 12.508241 0.129927 SUCCESS   0
000000011  238  228  247  255  242  253  268  214  8.409262 0.394546 SUCCESS   1
000000101  249  230  214  276  210  249  248  225 15.742939 0.046211 SUCCESS   2
000000111  229  222  241  274  221  280  259  241 15.562880 0.049081 SUCCESS   3
000001001  281  276  240  236  249  245  242  263 12.049621 0.149004 SUCCESS   4
000001011  260  235  234  255  237  277  230  251  8.195310 0.414628 SUCCESS   5
000001101  224  232  265  225  252  223  225  242  9.456779 0.305239 SUCCESS   6
000001111  227  245  250  236  250  265  245  217  6.784499 0.560052 SUCCESS   7
000010001  222  239  256  249  262  221  232  222  9.199401 0.325755 SUCCESS   8
000010011  271  269  251  222  268  217  253  284 20.557915 0.008419 FAILURE   9
000010101  241  250  225  252  229  240  224  233  5.281540 0.727104 SUCCESS  10
000010111  252  259  231  233  246  261  221  250  6.087566 0.637424 SUCCESS  11
000011001  227  222  275  269  258  234  232  246 11.864267 0.157363 SUCCESS  12
000011011  214  250  265  245  237  238  258  246  7.045054 0.531780 SUCCESS  13
000011101  255  256  235  234  216  228  256  252  7.198633 0.515361 SUCCESS  14
000011111  238  244  243  245  221  245  248  239  2.611378 0.956335 SUCCESS  15
000100011  257  263  240  270  234  244  245  230  6.403198 0.602164 SUCCESS  16
000100101  260  254  272  254  228  237  237  284 13.454077 0.097152 SUCCESS  17
000100111  290  225  243  225  236  217  310  268 36.217709 0.000016 FAILURE  18
000101001  260  214  237  267  255  242  278  216 16.077636 0.041282 SUCCESS  19
000101011  234  236  243  217  246  252  231  240  4.916127 0.766502 SUCCESS  20
000101101  228  241  224  245  281  268  248  212 15.473910 0.050560 SUCCESS  21
000101111  258  258  217  236  238  275  235  223 11.469197 0.176504 SUCCESS  22
000110011  216  231  254  282  261  226  223  234 15.495094 0.050204 SUCCESS  23
000110101  212  256  268  245  267  231  194  263 22.488778 0.004087 FAILURE  24
000110111  217  256  254  241  239  228  251  237  5.797354 0.669919 SUCCESS  25
000111001  231  280  228  276  235  239  243  236 12.337715 0.136760 SUCCESS  26
000111011  249  257  229  238  209  258  285  251 15.252544 0.054417 SUCCESS  27
000111101  249  246  242  231  235  262  232  263  4.703234 0.788773 SUCCESS  28
000111111  252  243  230  236  211  263  233  273 11.607948 0.169572 SUCCESS  29
001000011  221  255  241  243  266  210  228  232 11.498854 0.175003 SUCCESS  30
001000101  232  229  241  265  234  250  267  215  9.870913 0.274203 SUCCESS  31
001000111  258  273  240  242  223  254  240  275 10.853821 0.210120 SUCCESS  32
001001011  261  259  257  270  228  237  230  252  8.107399 0.423050 SUCCESS  33
001001101  283  257  244  235  232  212  236  311 31.680235 0.000106 FAILURE  34
001001111  278  210  229  209  210  241  277  259 26.482899 0.000868 FAILURE  35
001010011  237  228  246  253  248  245  262  232  3.708676 0.882405 SUCCESS  36
001010101  246  237  251  234  235  231  230  225  4.342058 0.825019 SUCCESS  37
001010111  219  268  230  271  251  234  217  229 13.715692 0.089483 SUCCESS  38
001011011  208  235  261  255  260  255  246  211 13.821609 0.086535 SUCCESS  39
001011101  227  257  253  239  216  222  219  269 13.110907 0.108090 SUCCESS  40
001011111  259  275  242  234  245  238  231  246  6.336471 0.609598 SUCCESS  41
001100101  222  234  284  260  267  247  234  230 13.843851 0.085927 SUCCESS  42
001100111  246  263  270  272  280  262  230  245 15.307621 0.053433 SUCCESS  43
001101011  231  253  246  248  258  223  203  255 11.514741 0.174203 SUCCESS  44
001101101  236  234  253  278  235  250  257  228  8.212257 0.413016 SUCCESS  45
001101111  244  231  258  261  234  247  250  240  3.439647 0.903823 SUCCESS  46
001110101  254  264  239  256  249  217  247  254  6.461452 0.595686 SUCCESS  47
001110111  259  238  247  242  243  265  269  248  5.687201 0.682223 SUCCESS  48
001111011  252  222  222  231  231  253  250  250  6.496405 0.591806 SUCCESS  49
001111101  251  258  249  228  238  274  246  228  7.274893 0.507285 SUCCESS  50
001111111  234  254  217  226  230  248  250  268  8.826574 0.357137 SUCCESS  51
010000011  251  251  242  191  298  250  219  228 28.595939 0.000373 FAILURE  52
010000111  232  259  235  244  242  203  237  242  9.331797 0.315084 SUCCESS  53
010001011  243  233  242  253  236  261  271  250  5.574929 0.694725 SUCCESS  54
010001111  266  230  227  233  230  267  224  287 17.205649 0.028038 SUCCESS  55
010010011  270  227  251  228  239  240  229  283 12.936144 0.114066 SUCCESS  56
010010111  246  255  256  247  245  210  244  243  6.090744 0.637068 SUCCESS  57
010011011  267  219  243  259  216  219  243  246 11.880154 0.156632 SUCCESS  58
010011111  243  249  226  230  227  229  262  263  7.417881 0.492289 SUCCESS  59
010100011  239  253  217  247  237  267  242  214  9.893156 0.272605 SUCCESS  60
010100111  235  269  242  226  255  255  268  257  8.504587 0.385793 SUCCESS  61
010101011  259  251  268  207  231  233  231  257 12.078219 0.147748 SUCCESS  62
010101111  243  263  231  246  228  216  232  248  7.398816 0.494277 SUCCESS  63
010110011  264  243  236  224  251  292  237  241 13.841733 0.085985 SUCCESS  64
010110111  198  241  263  255  270  226  227  232 17.159046 0.028495 SUCCESS  65
010111011  241  246  233  234  248  239  212  277 10.141001 0.255269 SUCCESS  66
010111111  233  285  243  232  230  250  245  276 13.530337 0.094859 SUCCESS  67
011000111  236  243  239  271  240  251  249  200 12.078219 0.147748 SUCCESS  68
011001111  246  236  256  268  240  266  233  255  6.431796 0.598982 SUCCESS  69
011010111  250  251  254  251  279  218  215  246 12.613098 0.125873 SUCCESS  70
011011111  230  240  282  263  265  209  236  222 17.931179 0.021748 SUCCESS  71
011101111  238  229  244  242  267  244  243  230  4.214958 0.837227 SUCCESS  72
011111111  234  262  237  216  240  265  243  285 14.356488 0.072934 SUCCESS  73
100000000  231  231  249  275  233  250  269  216 12.242390 0.140712 SUCCESS  74
100010000  231  239  254  228  267  222  226  239  8.149766 0.418979 SUCCESS  75
100100000  236  251  241  206  283  275  226  227 19.755066 0.011304 SUCCESS  76
100101000  265  241  235  258  241  245  234  237  3.749983 0.878947 SUCCESS  77
100110000  254  252  244  239  210  226  243  268  9.533039 0.299341 SUCCESS  78
100111000  237  246  233  249  233  261  273  251  6.318465 0.611606 SUCCESS  79
101000000  244  234  239  269  206  252  267  220 14.270696 0.074977 SUCCESS  80
101000100  249  259  238  246  223  220  250  266  7.741986 0.459071 SUCCESS  81
101001000  252  235  256  240  264  263  236  234  5.181978 0.737961 SUCCESS  82
101001100  244  224  268  278  238  240  224  238 11.098489 0.196181 SUCCESS  83
101010000  214  222  226  247  238  238  246  240  7.750459 0.458218 SUCCESS  84
101010100  235  230  256  245  248  238  237  241  2.277740 0.971291 SUCCESS  85
101011000  269  239  253  222  224  252  250  259  8.202724 0.413922 SUCCESS  86
101011100  238  256  264  237  272  234  229  239  7.451774 0.488763 SUCCESS  87
101100000  281  249  249  265  201  230  256  261 18.336840 0.018838 SUCCESS  88
101100100  258  228  253  244  205  231  278  237 14.542902 0.068667 SUCCESS  89
101101000  251  228  221  255  260  282  240  230 12.131177 0.145446 SUCCESS  90
101101100  261  222  263  267  225  238  289  241 17.288264 0.027244 SUCCESS  91
101110000  241  258  244  231  231  217  217  259  9.488554 0.302771 SUCCESS  92
101110100  231  250  261  277  215  240  217  254 13.857620 0.085553 SUCCESS  93
101111000  226  229  226  217  268  258  226  272 14.784392 0.063476 SUCCESS  94
101111100  217  234  274  267  281  209  223  208 27.957260 0.000482 FAILURE  95
110000000  246  219  254  274  238  231  251  204 14.793925 0.063279 SUCCESS  96
110000010  262  260  261  218  250  248  236  270  9.845493 0.276038 SUCCESS  97
110000100  226  260  240  237  277  233  259  270 11.623836 0.168793 SUCCESS  98
110001000  273  258  252  238  218  244  243  243  7.672081 0.466140 SUCCESS  99
110001010  260  208  245  210  255  273  281  219 24.002328 0.002290 FAILURE 100
110010000  256  237  246  208  273  251  221  234 12.788920 0.119322 SUCCESS 101
110010010  251  259  232  238  247  220  224  264  7.809773 0.452269 SUCCESS 102
110010100  228  232  248  240  246  238  254  232  3.069998 0.929888 SUCCESS 103
110011000  246  252  244  274  208  225  253  232 12.094106 0.147054 SUCCESS 104
110011010  236  251  242  229  241  244  221  256  4.372774 0.822023 SUCCESS 105
110100000  244  231  257  243  233  255  237  243  2.683401 0.952630 SUCCESS 106
110100010  237  259  225  226  234  246  251  249  4.844103 0.774101 SUCCESS 107
110100100  246  243  247  244  238  253  225  240  2.169705 0.975362 SUCCESS 108
110101000  232  265  221  249  232  240  240  239  5.713680 0.679268 SUCCESS 109
110101010  248  244  274  218  244  240  238  273 10.500059 0.231666 SUCCESS 110
