		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  249  242  238  263  260  249  236  218  6.127815 0.632917 SUCCESS   0
000000011  240  259  236  248  238  250  232  228  3.382452 0.908119 SUCCESS   1
000000101  233  239  254  234  259  244  238  244  2.579603 0.957915 SUCCESS   2
000000111  232  248  253  269  233  222  228  221  9.607180 0.293686 SUCCESS   3
000001001  246  232  287  250  258  230  238  245 10.395201 0.238376 SUCCESS   4
000001011  243  255  234  232  269  238  248  244  4.407726 0.818592 SUCCESS   5
000001101  277  259  244  253  252  254  243  243  6.536653 0.587345 SUCCESS   6
000001111  257  253  245  249  227  236  233  235  3.539209 0.896125 SUCCESS   7
000010001  240  251  240  226  225  231  274  228  8.898597 0.350922 SUCCESS   8
000010011  237  247  259  224  246  250  244  242  3.083767 0.928991 SUCCESS   9
000010101  239  268  242  251  253  252  216  252  6.956084 0.541378 SUCCESS  10
000010111  250  248  242  230  239  241  268  236  3.921568 0.864130 SUCCESS  11
000011001  243  246  231  252  238  263  231  241  3.452357 0.902856 SUCCESS  12
000011011  268  234  224  244  233  245  262  260  7.514265 0.482294 SUCCESS  13
000011101  237  274  241  239  256  250  239  238  5.162913 0.740030 SUCCESS  14
000011111  235  250  274  246  224  229  240  255  7.553454 0.478258 SUCCESS  15
000100011  235  213  241  228  257  236  265  234  8.862586 0.354020 SUCCESS  16
000100101  233  233  273  247  224  251  223  235  8.775734 0.361567 SUCCESS  17
000100111  242  251  268  231  264  224  256  260  8.418794 0.393666 SUCCESS  18
000101001  266  245  249  258  250  226  228  243  5.591876 0.692841 SUCCESS  19
000101011  250  236  225  234  255  255  204  252 10.495822 0.231934 SUCCESS  20
000101101  246  254  218  261  262  224  249  265  9.542571 0.298609 SUCCESS  21
000101111  237  263  260  243  245  231  270  253  6.700824 0.569228 SUCCESS  22
000110011  245  254  242  257  227  261  241  239  3.739391 0.879838 SUCCESS  23
000110101  244  272  220  251  276  247  263  226 13.198818 0.105190 SUCCESS  24
000110111  278  240  241  241  223  241  261  267 10.371899 0.239887 SUCCESS  25
000111001  231  228  237  254  259  247  242  238  3.610173 0.890473 SUCCESS  26
000111011  236  259  216  243  264  238  238  236  6.844871 0.553459 SUCCESS  27
000111101  249  249  269  252  245  231  237  264  5.707325 0.679978 SUCCESS  28
000111111  238  247  258  236  233  245  254  238  2.388953 0.966708 SUCCESS  29
001000011  230  223  240  229  251  266  256  251  6.802504 0.558083 SUCCESS  30
001000101  240  254  246  247  231  234  254  253  2.446148 0.964195 SUCCESS  31
001000111  247  231  227  232  243  244  244  237  2.850750 0.943372 SUCCESS  32
001001011  209  243  271  246  243  225  234  212 14.668943 0.065911 SUCCESS  33
001001101  244  240  209  239  243  252  277  255 10.758496 0.215762 SUCCESS  34
001001111  260  259  259  239  233  251  249  264  5.552687 0.697196 SUCCESS  35
001010011  252  250  264  244  227  250  231  228  5.302723 0.724785 SUCCESS  36
001010101  221  257  250  259  237  247  209  204 16.349842 0.037638 SUCCESS  37
001010111  239  228  222  232  235  238  228  263  7.032344 0.533147 SUCCESS  38
001011011  245  242  248  257  240  253  220  249  3.760575 0.878053 SUCCESS  39
001011101  258  233  254  252  234  240  252  265  4.631211 0.796167 SUCCESS  40
001011111  217  251  231  231  260  236  257  246  6.841694 0.553805 SUCCESS  41
001100101  257  243  214  240  261  243  244  246  5.851372 0.663876 SUCCESS  42
001100111  228  248  244  254  237  250  245  247  1.977996 0.981679 SUCCESS  43
001101011  248  245  238  239  228  251  254  226  3.443884 0.903501 SUCCESS  44
