		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  269  237  253  248  223  270  250  237  8.322410 0.402627 SUCCESS   0
000000011  252  245  236  242  233  257  249  232  2.514994 0.961028 SUCCESS   1
000000101  237  227  247  250  223  254  244  241  3.984059 0.858559 SUCCESS   2
000000111  260  227  251  240  261  226  264  241  6.895711 0.547925 SUCCESS   3
000001001  263  240  250  238  250  246  230  260  3.960758 0.860647 SUCCESS   4
000001011  239  240  227  229  226  262  224  240  6.928545 0.544361 SUCCESS   5
000001101  232  228  244  235  268  280  221  230 13.055830 0.109943 SUCCESS   6
000001111  254  249  241  217  247  218  265  231  9.175040 0.327746 SUCCESS   7
000010001  213  233  259  252  263  215  268  253 13.680739 0.090476 SUCCESS   8
000010011  286  224  247  221  217  263  239  257 16.885781 0.031321 SUCCESS   9
000010101  234  266  255  274  221  231  283  202 23.660217 0.002612 FAILURE  10
000010111  239  236  214  246  242  269  262  258  9.060650 0.337205 SUCCESS  11
000011001  272  243  235  245  232  249  241  247  4.453270 0.814090 SUCCESS  12
000011011  248  227  257  220  258  264  232  221  9.851848 0.275579 SUCCESS  13
000011101  245  262  247  239  240  243  246  240  1.667660 0.989562 SUCCESS  14
000011111  264  246  235  224  253  220  278  260 12.485998 0.130801 SUCCESS  15
000100011  218  236  253  246  258  215  270  255 11.266896 0.187030 SUCCESS  16
000100101  227  239  228  240  270  215  244  267 11.174749 0.191993 SUCCESS  17
000100111  263  247  244  243  221  287  241  245 11.648197 0.167604 SUCCESS  18
000101001  240  230  257  240  248  237  217  230  5.932928 0.654745 SUCCESS  19
000101011  211  257  269  266  234  232  287  213 22.949516 0.003430 FAILURE  20
000101101  233  219  227  244  262  233  241  249  6.461452 0.595686 SUCCESS  21
000101111  236  237  231  251  236  247  245  267  3.959698 0.860741 SUCCESS  22
000110011  255  240  223  249  223  244  235  264  6.481577 0.593452 SUCCESS  23
000110101  248  232  234  256  257  252  231  250  3.559333 0.894536 SUCCESS  24
000110111  250  248  251  225  276  254  255  241  7.219816 0.513113 SUCCESS  25
000111001  235  246  251  249  235  234  258  261  3.477777 0.900908 SUCCESS  26
000111011  266  260  244  241  235  228  260  238  5.817478 0.667669 SUCCESS  27
000111101  247  262  253  231  228  246  247  230  4.449034 0.814510 SUCCESS  28
000111111  265  243  246  235  245  232  251  235  3.398339 0.906935 SUCCESS  29
001000011  232  246  218  236  225  235  255  251  6.412731 0.601103 SUCCESS  30
001000101  237  236  270  245  250  255  246  225  5.546332 0.697902 SUCCESS  31
001000111  228  251  245  264  229  228  257  239  5.863023 0.662572 SUCCESS  32
001001011  227  260  224  243  244  242  239  265  6.008129 0.646321 SUCCESS  33
001001101  260  249  244  232  232  255  255  218  6.307873 0.612788 SUCCESS  34
001001111  265  232  227  242  239  263  247  224  7.102249 0.525642 SUCCESS  35
001010011  247  232  253  245  263  249  216  262  7.309846 0.503601 SUCCESS  36
001010101  255  249  245  248  221  269  251  234  6.190305 0.625924 SUCCESS  37
001010111  221  252  247  260  243  244  252  260  4.966967 0.761101 SUCCESS  38
001011011  248  235  238  247  239  237  244  259  1.874197 0.984629 SUCCESS  39
001011101  255  247  245  213  241  269  262  223 10.550899 0.228467 SUCCESS  40
001011111  227  236  230  262  250  227  238  261  6.475222 0.594157 SUCCESS  41
001100101  250  251  249  227  245  228  229  245  3.766930 0.877516 SUCCESS  42
001100111  256  232  221  243  231  216  257  255  8.775734 0.361567 SUCCESS  43
001101011  253  246  241  226  233  275  225  241  7.935814 0.439765 SUCCESS  44
001101101  255  215  258  250  235  255  233  264  8.108458 0.422948 SUCCESS  45
001101111  239  258  239  213  295  252  246  243 16.391149 0.037112 SUCCESS  46
001110101  251  240  232  250  236  236  228  238  2.861341 0.942755 SUCCESS  47
001110111  247  248  247  276  237  217  250  258  8.732308 0.365379 SUCCESS  48
001111011  233  257  271  226  244  248  252  229  6.974090 0.539431 SUCCESS  49
001111101  223  248  244  238  254  230  277  239  8.061855 0.427451 SUCCESS  50
001111111  249  255  220  249  252  254  234  222  6.352358 0.607826 SUCCESS  51
010000011  250  262  251  242  267  268  220  256  9.414412 0.308551 SUCCESS  52
010000111  253  256  240  214  245  252  256  264  7.385047 0.495715 SUCCESS  53
010001011  226  234  272  242  260  254  243  228  7.725039 0.460780 SUCCESS  54
010001111  243  240  268  268  236  245  261  238  6.555718 0.585234 SUCCESS  55
010010011  250  233  236  270  261  239  248  220  7.633951 0.470018 SUCCESS  56
010010111  223  243  253  235  239  231  234  256  4.455389 0.813880 SUCCESS  57
010011011  239  249  243  259  247  235  250  235  2.041546 0.979712 SUCCESS  58
010011111  265  250  216  220  230  264  249  233 10.953383 0.204355 SUCCESS  59
010100011  252  254  274  239  254  226  232  247  7.031285 0.533261 SUCCESS  60
010100111  248  223  238  258  230  225  211  239 10.083806 0.259193 SUCCESS  61
010101011  237  248  235  258  224  268  248  236  5.921277 0.656050 SUCCESS  62
010101111  221  243  250  240  267  257  232  242  6.050495 0.641576 SUCCESS  63
010110011  264  264  238  247  262  245  272  198 17.203531 0.028058 SUCCESS  64
010110111  249  259  229  252  244  252  237  244  2.748011 0.949163 SUCCESS  65
010111011  256  234  218  251  210  268  252  238 11.893923 0.156000 SUCCESS  66
010111111  236  242  224  254  227  242  214  259  8.471753 0.388794 SUCCESS  67
011000111  240  254  233  263  243  242  256  216  6.492168 0.592276 SUCCESS  68
011001111  268  248  233  239  225  256  271  232  8.944141 0.347030 SUCCESS  69
011010111  260  256  241  256  203  273  218  278 20.754920 0.007828 FAILURE  70
011011111  224  276  236  237  272  262  244  247 11.195932 0.190843 SUCCESS  71
011101111  224  238  268  254  235  253  231  270  8.955792 0.346039 SUCCESS  72
011111111  254  229  227  253  256  243  236  228  4.942606 0.763693 SUCCESS  73
100000000  269  237  253  248  223  270  250  237  8.322410 0.402627 SUCCESS  74
100010000  239  229  244  217  244  232  234  246  5.269889 0.728379 SUCCESS  75
100100000  250  242  236  243  273  256  231  241  5.351445 0.719437 SUCCESS  76
100101000  258  236  243  236  260  229  209  278 13.505977 0.095586 SUCCESS  77
100110000  250  246  242  214  255  260  259  239  6.642570 0.575641 SUCCESS  78
100111000  245  249  254  232  228  225  240  255  4.364300 0.822851 SUCCESS  79
101000000  250  226  223  268  236  237  232  269  9.582820 0.295535 SUCCESS  80
101000100  224  219  236  217  261  239  238  261 10.470402 0.233549 SUCCESS  81
101001000  238  251  260  243  263  236  250  215  6.961380 0.540805 SUCCESS  82
101001100  240  247  231  249  234  226  261  264  5.643775 0.687064 SUCCESS  83
101010000  270  262  245  255  236  270  225  246  9.375223 0.311638 SUCCESS  84
101010100  277  242  265  234  250  234  240  245  7.534389 0.480219 SUCCESS  85
101011000  213  208  245  272  258  233  236  217 17.665328 0.023880 SUCCESS  86
101011100  222  260  238  252  244  264  239  268  7.763169 0.456940 SUCCESS  87
101100000  234  224  256  237  236  225  252  224  6.770729 0.561559 SUCCESS  88
101100100  266  255  233  242  223  235  241  257  6.058969 0.640626 SUCCESS  89
101101000  231  223  246  243  245  231  253  234  4.141875 0.844101 SUCCESS  90
101101100  272  225  251  224  213  266  246  261 14.110761 0.078924 SUCCESS  91
101110000  238  246  236  251  220  252  276  262  9.040526 0.338889 SUCCESS  92
101110100  239  247  230  240  245  243  258  235  2.240669 0.972730 SUCCESS  93
101111000  231  244  224  263  256  239  238  243  4.828216 0.775769 SUCCESS  94
101111100  231  235  249  257  250  275  227  247  7.347976 0.499596 SUCCESS  95
110000000  247  248  250  234  217  253  271  265  9.036289 0.339244 SUCCESS  96
110000010  211  237  251  235  255  223  234  241  8.284280 0.406205 SUCCESS  97
110000100  219  255  237  259  239  243  260  241  5.553746 0.697078 SUCCESS  98
110001000  239  231  258  230  247  253  236  230  3.995710 0.857510 SUCCESS  99
110001010  237  261  258  231  243  261  244  221  6.444506 0.597569 SUCCESS 100
110010000  261  258  231  233  247  258  235  249  4.580371 0.801339 SUCCESS 101
110010010  264  233  240  244  217  253  260  243  6.794031 0.559010 SUCCESS 102
110010100  254  245  249  253  276  257  222  266  9.958824 0.267928 SUCCESS 103
110011000  244  242  278  228  269  241  252  222 10.981980 0.202722 SUCCESS 104
110011010  276  236  238  239  233  248  230  240  6.359772 0.607000 SUCCESS 105
110100000  255  221  241  258  239  235  225  277 10.216202 0.250178 SUCCESS 106
110100010  214  229  245  231  297  235  250  235 18.243634 0.019472 SUCCESS 107
110100100  242  242  253  268  271  255  258  221  9.429240 0.307389 SUCCESS 108
110101000  241  263  255  248  219  247  218  239  7.827779 0.450472 SUCCESS 109
110101010  259  241  255  244  253  233  237  247  2.588076 0.957497 SUCCESS 110
110101100  243  222  243  225  252  238  207  220 12.361016 0.135808 SUCCESS 111
110110000  233  218  254  233  239  259  269  225  9.573287 0.296261 SUCCESS 112
110110010  255  238  201  266  234  257  244  242 11.722338 0.164029 SUCCESS 113
110110100  224  234  251  243  249  235  250  250  3.101773 0.927809 SUCCESS 114
110111000  250  248  248  242  226  235  271  225  6.646807 0.575174 SUCCESS 115
110111010  262  241  232  252  235  239  262  241  4.139757 0.844299 SUCCESS 116
110111100  254  236  245  261  279  242  239  251  7.386106 0.495604 SUCCESS 117
111000000  249  228  246  247  247  251  258  250  2.449325 0.964052 SUCCESS 118
111000010  229  255  225  254  212  249  263  259 10.352834 0.241129 SUCCESS 119
111000100  266  251  245  249  235  261  247  227  5.168209 0.739456 SUCCESS 120
111000110  236  235  241  279  225  239  218  266 12.406561 0.133965 SUCCESS 121
111001000  262  268  222  234  255  271  255  217 13.456196 0.097088 SUCCESS 122
111001010  252  258  249  250  251  270  216  276 12.017846 0.150409 SUCCESS 123
111001100  244  233  265  221  274  244  239  243  8.534244 0.383095 SUCCESS 124
111010000  257  234  243  234  237  222  239  284 10.712951 0.218500 SUCCESS 125
111010010  248  259  256  246  261  250  244  248  3.029749 0.932477 SUCCESS 126
111010100  229  243  244  241  215  224  221  236  8.871059 0.353290 SUCCESS 127
111010110  245  243  246  254  242  241  239  236  0.888112 0.998861 SUCCESS 128
111011000  222  252  249  228  264  250  288  237 13.729461 0.089095 SUCCESS 129
111011010  216  266  239  247  252  241  239  246  5.955170 0.652254 SUCCESS 130
111011100  255  268  254  240  239  252  254  211  8.837166 0.356218 SUCCESS 131
111100000  234  234  232  250  232  253  253  236  3.207689 0.920656 SUCCESS 132
111100010  259  230  234  259  251  259  228  231  6.123578 0.633391 SUCCESS 133
111100100  271  240  233  238  227  281  258  229 12.603566 0.126237 SUCCESS 134
111100110  242  236  244  234  248  251  246  250  1.158200 0.997038 SUCCESS 135
111101000  243  237  261  214  241  228  255  279 12.068686 0.148165 SUCCESS 136
111101010  236  267  247  230  235  226  222  225  8.745018 0.364261 SUCCESS 137
111101100  233  248  253  246  268  238  268  251  6.125696 0.633154 SUCCESS 138
111101110  261  245  264  220  251  245  257  211 10.903602 0.207221 SUCCESS 139
111110000  247  246  235  263  216  255  258  246  6.594908 0.580901 SUCCESS 140
111110010  267  249  242  226  227  278  250  250 10.125113 0.256354 SUCCESS 141
111110100  245  253  240  245  260  222  274  262  8.688882 0.369217 SUCCESS 142
111110110  212  255  247  226  266  246  254  259  9.692973 0.287240 SUCCESS 143
111111000  253  251  205  252  220  258  233  259 12.025260 0.150080 SUCCESS 144
111111010  245  239  254  264  231  230  250  248  3.986178 0.858368 SUCCESS 145
111111100  266  270  212  252  222  274  230  245 16.202618 0.039570 SUCCESS 146
111111110  254  229  227  253  256  243  236  228  4.942606 0.763693 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  239  235  254  267  252  245  248  256  4.021130 0.855212 SUCCESS   0
000000011  276  231  248  247  233  263  261  228  9.474784 0.303838 SUCCESS   1
000000101  247  253  224  239  241  252  250  256  3.243701 0.918146 SUCCESS   2
000000111  258  235  249  242  239  247  219  249  4.209662 0.837729 SUCCESS   3
000001001  224  247  251  239  251  236  230  239  3.498960 0.899270 SUCCESS   4
000001011  280  231  259  208  247  235  266  237 15.279023 0.053942 SUCCESS   5
000001101  259  286  223  221  261  243  275  236 18.052983 0.020833 SUCCESS   6
000001111  249  248  237  271  242  257  219  238  6.994214 0.537257 SUCCESS   7
000010001  238  266  237  231  232  270  231  249  7.421058 0.491958 SUCCESS   8
000010011  232  244  254  259  227  252  238  262  4.991328 0.758503 SUCCESS   9
000010101  249  221  232  260  237  237  221  246  6.767552 0.561907 SUCCESS  10
000010111  230  219  258  201  258  256  238  225 15.336218 0.052928 SUCCESS  11
000011001  251  232  249  250  219  239  257  231  5.287895 0.726409 SUCCESS  12
000011011  244  285  225  216  265  233  281  229 21.080085 0.006938 FAILURE  13
000011101  221  235  259  254  279  239  228  256 10.932199 0.205571 SUCCESS  14
000011111  275  230  224  256  252  239  233  221 10.361308 0.240577 SUCCESS  15
000100011  251  271  226  236  219  274  239  247 11.533806 0.173247 SUCCESS  16
000100101  215  248  245  248  231  223  237  262  7.913571 0.441958 SUCCESS  17
000100111  230  254  276  249  230  250  243  232  7.283367 0.506391 SUCCESS  18
000101001  263  255  223  278  243  250  264  273 14.120294 0.078683 SUCCESS  19
000101011  240  211  243  247  234  254  234  245  6.046259 0.642050 SUCCESS  20
000101101  252  238  232  231  243  238  242  241  1.999179 0.981037 SUCCESS  21
000101111  253  219  228  222  250  244  247  251  6.565251 0.584179 SUCCESS  22
000110011  231  263  266  239  223  234  239  268  9.229058 0.323343 SUCCESS  23
000110101  235  246  233  234  269  235  282  243 10.383550 0.239131 SUCCESS  24
000110111  238  267  231  232  248  258  252  220  7.336325 0.500818 SUCCESS  25
000111001  230  235  231  260  239  233  231  281 10.121936 0.256572 SUCCESS  26
000111011  241  223  246  249  263  247  247  241  3.668427 0.885732 SUCCESS  27
000111101  241  249  249  242  234  249  222  223  4.761488 0.782738 SUCCESS  28
000111111  262  267  237  234  238  244  242  228  5.499728 0.703070 SUCCESS  29
001000011  193  235  260  273  264  230  249  252 18.908791 0.015355 SUCCESS  30
001000101  213  258  245  228  225  270  258  245 11.229825 0.189014 SUCCESS  31
001000111  275  244  230  228  235  288  231  242 15.243012 0.054589 SUCCESS  32
001001011  246  231  253  250  243  234  235  250  2.163350 0.975590 SUCCESS  33
