		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  237  242  259  237  229  253  241  264  4.404549 0.818905 SUCCESS   0
000000011  243  248  258  239  240  264  247  265  4.622737 0.797032 SUCCESS   1
000000101  264  233  261  214  246  254  271  254 11.150388 0.193323 SUCCESS   2
000000111  230  235  237  247  250  261  256  236  3.677960 0.884948 SUCCESS   3
000001001  234  258  271  242  259  262  236  245  6.903125 0.547120 SUCCESS   4
000001011  260  227  233  248  219  243  264  251  7.451774 0.488763 SUCCESS   5
000001101  240  235  235  235  249  223  236  231  4.131284 0.845089 SUCCESS   6
000001111  243  251  257  244  261  243  250  226  3.657836 0.886601 SUCCESS   7
000010001  243  227  226  264  239  233  261  266  8.182600 0.415840 SUCCESS   8
000010011  262  259  263  259  252  232  226  262  8.369013 0.398279 SUCCESS   9
000010101  250  249  251  222  246  241  243  230  3.427996 0.904705 SUCCESS  10
000010111  235  226  240  251  236  249  263  233  4.431028 0.816293 SUCCESS  11
000011001  256  281  245  245  243  243  269  226 10.388846 0.238787 SUCCESS  12
000011011  242  229  242  225  239  244  252  234  3.365505 0.909373 SUCCESS  13
000011101  227  232  225  252  250  243  241  243  3.876024 0.868132 SUCCESS  14
000011111  243  260  263  270  252  232  252  220  9.033112 0.339510 SUCCESS  15
000100011  236  228  235  279  230  245  262  268 11.504150 0.174736 SUCCESS  16
000100101  236  218  237  244  267  278  219  228 14.241039 0.075695 SUCCESS  17
000100111  240  242  249  267  250  235  224  270  7.460248 0.487884 SUCCESS  18
000101001  247  220  277  246  238  250  226  251  8.991804 0.342988 SUCCESS  19
000101011  237  253  248  234  234  235  247  235  2.221604 0.973453 SUCCESS  20
000101101  269  234  228  240  245  233  258  241  5.614118 0.690366 SUCCESS  21
000101111  222  254  253  246  235  241  271  244  6.289867 0.614798 SUCCESS  22
000110011  262  262  243  247  228  260  263  216  9.777706 0.280976 SUCCESS  23
000110101  253  271  227  240  242  249  234  230  6.107690 0.635170 SUCCESS  24
000110111  229  269  229  240  239  267  238  230  7.964411 0.436954 SUCCESS  25
000111001  236  233  230  254  249  251  234  245  2.800969 0.946220 SUCCESS  26
000111011  219  230  252  235  230  232  236  216  9.234353 0.322914 SUCCESS  27
000111101  233  245  248  223  262  243  247  235  4.228727 0.835920 SUCCESS  28
000111111  251  248  243  259  265  211  263  200 17.459850 0.025661 SUCCESS  29
001000011  242  253  225  259  226  255  249  240  4.905535 0.767623 SUCCESS  30
001000101  285  238  278  239  257  216  226  244 17.655796 0.023960 SUCCESS  31
001000111  253  219  239  265  226  245  220  260  9.894215 0.272529 SUCCESS  32
001001011  233  220  225  264  256  268  223  239 11.227707 0.189128 SUCCESS  33
001001101  259  237  246  249  229  260  247  272  6.631978 0.576809 SUCCESS  34
